iter	Logloss
0	0.676821147
1	0.6611329024
2	0.6406885165
3	0.6211834661
4	0.6042611048
5	0.5888945936
6	0.576050099
7	0.5603109114
8	0.5489143375
9	0.5375160111
10	0.5269686101
11	0.5136582549
12	0.5006037031
13	0.4915406625
14	0.4795443135
15	0.468074981
16	0.4602701085
17	0.4498998904
18	0.4406420211
19	0.4310890684
20	0.422385772
21	0.4139271597
22	0.4059677658
23	0.4004806843
24	0.3932942298
25	0.3878902708
26	0.382792877
27	0.3763261829
28	0.3699440617
29	0.3654485279
30	0.3609318131
31	0.3566382086
32	0.3526549462
33	0.3470825366
34	0.3421858635
35	0.3382687425
36	0.3348553723
37	0.3299163373
38	0.3273554636
39	0.3242609562
40	0.3194633895
41	0.3154059786
42	0.3127485063
43	0.3089325465
44	0.306325413
45	0.3027984632
46	0.300533398
47	0.2971188192
48	0.2946315803
49	0.2927274378
50	0.289432542
51	0.2873843627
52	0.2854004818
53	0.2822952479
54	0.2793989836
55	0.2775362059
56	0.2758475593
57	0.2741515705
58	0.2725687079
59	0.2712143039
60	0.2697236587
61	0.2688521567
62	0.2670785747
63	0.265201354
64	0.2647649836
65	0.2635153967
66	0.2613516436
67	0.2603921544
68	0.2581976119
69	0.25695996
70	0.2548922314
71	0.2535303037
72	0.2516403926
73	0.2507444766
74	0.2498496181
75	0.2487503526
76	0.2474499132
77	0.2467888008
78	0.2449440919
79	0.2442722984
80	0.2426495667
81	0.2419636928
82	0.2414883597
83	0.2405062392
84	0.2394427488
85	0.2383267742
86	0.23739043
87	0.2359603666
88	0.2344811126
89	0.2333804119
90	0.2322136302
91	0.2318942235
92	0.2306258879
93	0.2298835415
94	0.2289929434
95	0.2286258266
96	0.2277675589
97	0.2272415093
98	0.2268296587
99	0.2262219067
100	0.226010112
101	0.2256423607
102	0.2250832554
103	0.2238709391
104	0.2235509281
105	0.2227954985
106	0.2225175322
107	0.221934587
108	0.2209079442
109	0.2205395734
110	0.2194147609
111	0.2189457276
112	0.2185719635
113	0.2182583279
114	0.2178305084
115	0.216826089
116	0.2164541378
117	0.2162001322
118	0.2159802399
119	0.2154472709
120	0.2149957928
121	0.2142662577
122	0.2138795765
123	0.2129662867
124	0.2125265623
125	0.2120467724
126	0.2116637019
127	0.2109681138
128	0.210680811
129	0.2104481677
130	0.2101153756
131	0.2097051566
132	0.2092799054
133	0.2089524614
134	0.2081179582
135	0.2077161239
136	0.2073942093
137	0.2071283443
138	0.2066835135
139	0.2058268775
140	0.2053728311
141	0.2051353987
142	0.2048398319
143	0.2045339617
144	0.2040970625
145	0.2037882765
146	0.2035455564
147	0.2031997566
148	0.2028193904
149	0.2024799962
150	0.2022268971
151	0.2019048919
152	0.2017007266
153	0.2012219036
154	0.2009900913
155	0.2007480662
156	0.2006275672
157	0.2002487571
158	0.2000706677
159	0.199740172
160	0.1994553468
161	0.1992484168
162	0.199000409
163	0.1986072466
164	0.1985286413
165	0.1982265631
166	0.1979193332
167	0.1975980833
168	0.1973185307
169	0.1970145792
170	0.1968255518
171	0.196592274
172	0.1964994071
173	0.1961688358
174	0.195765672
175	0.195618493
176	0.1952920159
177	0.195076127
178	0.1949655388
179	0.1946395753
180	0.1943424978
181	0.1941823261
182	0.1940540014
183	0.1937675294
184	0.1935155635
185	0.1931251808
186	0.1927105051
187	0.1923935156
188	0.1920182709
189	0.1914427285
190	0.1907931282
191	0.1904757761
192	0.1902373768
193	0.1900494976
194	0.189833775
195	0.189526258
196	0.1892912731
197	0.1890102701
198	0.1885390916
199	0.1884247868
200	0.188202447
201	0.1880773705
202	0.187807668
203	0.1876303642
204	0.1872214445
205	0.1869552017
206	0.1867663556
207	0.186507289
208	0.1862469081
209	0.1860365789
210	0.1855017365
211	0.1852672199
212	0.1851413729
213	0.1849932874
214	0.1847609311
215	0.1844441834
216	0.1841856607
217	0.1839729142
218	0.1837727374
219	0.1835664872
220	0.1832899864
221	0.1831449828
222	0.1828601123
223	0.1825723108
224	0.1823511947
225	0.1822140925
226	0.1820845441
227	0.1817065498
228	0.1815460608
229	0.1814097895
230	0.1811077717
231	0.1809886325
232	0.1807755839
233	0.1806042778
234	0.1802303475
235	0.1798534409
236	0.1796308141
237	0.1793953457
238	0.1792367754
239	0.1789279743
240	0.1786571237
241	0.1784221085
242	0.178259157
243	0.1780293993
244	0.1776709241
245	0.1776461929
246	0.1774614107
247	0.1772893795
248	0.1769998558
249	0.1767793591
250	0.1765370621
251	0.1764025583
252	0.1762250581
253	0.1758644981
254	0.1757858928
255	0.1755436561
256	0.1753041691
257	0.1751728682
258	0.1750634885
259	0.1747295633
260	0.1744735938
261	0.1740250466
262	0.1737943371
263	0.1735208427
264	0.1732709616
265	0.1730601489
266	0.1728149058
267	0.1726149254
268	0.1724407942
269	0.172078104
270	0.1718392968
271	0.1716580347
272	0.1714157377
273	0.1712256074
274	0.1710517029
275	0.1708418722
276	0.1707219625
277	0.1705301251
278	0.1704467307
279	0.170219088
280	0.1699619099
281	0.1697371528
282	0.169455606
283	0.1692961897
284	0.1692136413
285	0.169034298
286	0.1687855499
287	0.1686484779
288	0.1684491017
289	0.1681701232
290	0.168065442
291	0.1679858094
292	0.1678138235
293	0.1677518518
294	0.1676093259
295	0.1674199208
296	0.1672522406
297	0.1671395977
298	0.1670182376
299	0.1666793571
300	0.1665385686
301	0.1663756926
302	0.1663041275
303	0.1660097542
304	0.1658014646
305	0.1654890829
306	0.1653695811
307	0.1651570613
308	0.1649974335
309	0.16488822
310	0.1647431863
311	0.1644678336
312	0.1640765445
313	0.163930997
314	0.1638160275
315	0.163576888
316	0.1633202839
317	0.1632371463
318	0.163145488
319	0.1628680202
320	0.1627190282
321	0.162670457
322	0.1625528437
323	0.1624472712
324	0.162237093
325	0.1619795372
326	0.161797973
327	0.1617553995
328	0.1617060881
329	0.1615689103
330	0.161474457
331	0.1611640243
332	0.160938678
333	0.1608357494
334	0.1607189518
335	0.1606452868
336	0.1604962192
337	0.1603177521
338	0.1601755586
339	0.1600147524
340	0.1598702473
341	0.1597748121
342	0.1596642994
343	0.1594883099
344	0.1592706082
345	0.1590147746
346	0.1588982641
347	0.1586861371
348	0.1585451219
349	0.1584938465
350	0.1583560644
351	0.1583061335
352	0.1582092479
353	0.1579180321
354	0.1578014763
355	0.1576130986
356	0.1575037642
357	0.1571961566
358	0.1570564861
359	0.1568840167
360	0.156718935
361	0.1565792947
362	0.1564470873
363	0.1563430407
364	0.1562164685
365	0.1561979465
366	0.1560911804
367	0.15597257
368	0.1558083797
369	0.1556635272
370	0.1554635618
371	0.1553324422
372	0.1551627527
373	0.1549965077
374	0.1548078882
375	0.154689444
376	0.1545924677
377	0.1544548518
378	0.1542111951
379	0.1538735383
380	0.1538323849
381	0.1537048761
382	0.1535395073
383	0.1535345822
384	0.153377704
385	0.1531819839
386	0.1530175065
387	0.1529679533
388	0.1528738778
389	0.1526725678
390	0.1524882239
391	0.1523649149
392	0.1521621849
393	0.1520159274
394	0.1518987219
395	0.1517095737
396	0.1516146068
397	0.1514678205
398	0.1513115164
399	0.1512370959
400	0.1511566173
401	0.1509848127
402	0.1508545995
403	0.1507035075
404	0.1505240433
405	0.1502513194
406	0.1500219243
407	0.1497745812
408	0.1496470724
409	0.149564811
410	0.1493472452
411	0.1492388325
412	0.1491804866
413	0.1491122149
414	0.1489584036
415	0.1488485103
416	0.1487051383
417	0.1486165166
418	0.1484414337
419	0.1482439158
420	0.1481168752
421	0.1480346894
422	0.1479851362
423	0.1479440584
424	0.147736222
425	0.1475109966
426	0.1474367574
427	0.1472744555
428	0.1472007451
429	0.1470222176
430	0.1467826852
431	0.1466773544
432	0.1464120333
433	0.146403996
434	0.1462666369
435	0.1461862187
436	0.1460570026
437	0.1459553279
438	0.1458224407
439	0.1456977116
440	0.1454474528
441	0.1452737295
442	0.145116247
443	0.1449442007
444	0.1447709759
445	0.1446743774
446	0.1445197351
447	0.1444151899
448	0.1442630102
449	0.1439685765
450	0.1438685938
451	0.1435737975
452	0.1435242594
453	0.1434575741
454	0.1432461571
455	0.1430697598
456	0.1429511947
457	0.1428139716
458	0.1427226758
459	0.1426354742
460	0.142531337
461	0.1424707098
462	0.1423618136
463	0.1422444269
464	0.1420618505
465	0.1420301697
466	0.1419092629
467	0.1417678851
468	0.1417640327
469	0.1416426877
470	0.1414474058
471	0.1412719904
472	0.1411672186
473	0.1409519643
474	0.140863388
475	0.1406711729
476	0.1406099565
477	0.1405306865
478	0.1404204155
479	0.1403018806
480	0.1402059468
481	0.1400973527
482	0.1398988075
483	0.1397370646
484	0.1395487473
485	0.1394118263
486	0.1392932461
487	0.1391478044
488	0.139077312
489	0.1389497275
490	0.1387450939
491	0.1384751649
492	0.1384191607
493	0.1383402835
494	0.1381458324
495	0.1381403937
496	0.1378928996
497	0.1377040837
498	0.1374690383
499	0.1372187039
500	0.1371278765
501	0.136939393
502	0.1368207524
503	0.1367529944
504	0.1366354868
505	0.1365496147
506	0.1363341791
507	0.1362736879
508	0.1361518293
509	0.1360883468
510	0.1358999842
511	0.1357885197
512	0.1356868148
513	0.1355422342
514	0.1353475566
515	0.1352367266
516	0.1350507207
517	0.1348652286
518	0.134745334
519	0.1346293674
520	0.1345224654
521	0.1344407328
522	0.1343183303
523	0.1341390021
524	0.1340072631
525	0.1338977474
526	0.1337929454
527	0.1336309306
528	0.1334764998
529	0.133347601
530	0.133208429
531	0.1330696498
532	0.132967265
533	0.1328786584
534	0.1328521898
535	0.1327048596
536	0.1325810521
537	0.1324328004
538	0.1323373954
539	0.1322162619
540	0.132019439
541	0.1318942567
542	0.1317901345
543	0.1316371692
544	0.1314687789
545	0.1313470714
546	0.1311662928
547	0.131078215
548	0.1309674153
549	0.130845043
550	0.1307152075
551	0.1305614415
552	0.1303513842
553	0.1302613122
554	0.1301840515
555	0.1300875889
556	0.1300035449
557	0.1298579823
558	0.1297583018
559	0.1296604946
560	0.1295756952
561	0.1294896418
562	0.1293895685
563	0.1292671962
564	0.1290840306
565	0.1289183598
566	0.1288621743
567	0.1286896596
568	0.1285816094
569	0.1285741311
570	0.1284995898
571	0.1284087775
572	0.1282484849
573	0.1280455887
574	0.1278821084
575	0.1277602196
576	0.1277094578
577	0.1275490142
