iter	Passed	Remaining
0	2	2790
1	5	2591
2	7	2368
3	9	2298
4	11	2350
5	14	2355
6	16	2348
7	18	2342
8	21	2344
9	23	2338
10	26	2344
11	28	2343
12	31	2402
13	34	2394
14	36	2397
15	38	2387
16	41	2391
17	43	2390
18	46	2391
19	48	2383
20	51	2379
21	53	2382
22	56	2382
23	58	2382
24	60	2376
25	63	2377
26	65	2374
27	68	2372
28	70	2370
29	73	2366
30	75	2366
31	78	2362
32	80	2360
33	83	2361
34	86	2373
35	88	2362
36	90	2358
37	92	2351
38	95	2343
39	97	2345
40	100	2340
41	102	2336
42	104	2332
43	107	2325
44	108	2305
45	110	2298
46	113	2293
47	115	2288
48	117	2283
49	120	2280
50	122	2273
51	124	2270
52	127	2269
53	129	2264
54	131	2262
55	134	2262
56	136	2259
57	139	2257
58	141	2255
59	143	2250
60	145	2236
61	147	2232
62	149	2227
63	152	2224
64	154	2220
65	156	2215
66	158	2211
67	161	2210
68	163	2210
69	166	2206
70	168	2201
71	170	2198
72	172	2195
73	175	2192
74	177	2188
75	180	2188
76	182	2184
77	184	2182
78	186	2179
79	189	2177
80	191	2174
81	193	2170
82	196	2167
83	198	2165
84	200	2161
85	202	2156
86	205	2153
87	207	2150
88	209	2149
89	212	2146
90	214	2143
91	216	2140
92	219	2139
93	221	2137
94	224	2134
95	226	2130
96	228	2126
97	230	2121
98	232	2116
99	234	2111
100	236	2105
101	238	2101
102	240	2097
103	242	2092
104	244	2087
105	246	2083
106	248	2078
107	251	2073
108	253	2070
109	255	2065
110	257	2061
111	259	2056
112	261	2051
113	263	2047
114	265	2044
115	267	2041
116	269	2036
117	271	2032
118	273	2028
119	275	2023
120	278	2020
121	280	2015
122	282	2012
123	284	2008
124	286	2004
125	288	1999
126	290	1995
127	292	1991
128	294	1987
129	296	1983
130	298	1979
131	300	1975
132	302	1971
133	304	1967
134	306	1964
135	308	1960
136	310	1956
137	312	1954
138	315	1951
139	317	1949
140	319	1947
141	321	1943
142	323	1939
143	326	1939
144	328	1936
145	330	1932
146	333	1932
147	335	1932
148	338	1931
149	340	1928
150	342	1925
151	345	1925
152	347	1924
153	349	1921
154	352	1920
155	354	1917
156	356	1913
157	358	1911
158	360	1908
159	362	1905
160	365	1902
161	367	1899
162	369	1895
163	371	1893
164	373	1891
165	376	1889
166	378	1889
167	381	1887
168	383	1884
169	385	1882
170	387	1879
171	389	1876
172	391	1871
173	393	1868
174	395	1865
175	397	1863
176	400	1860
177	402	1857
178	404	1854
179	406	1852
180	408	1848
181	410	1845
182	412	1843
183	415	1840
184	417	1838
185	419	1836
186	421	1833
187	423	1830
188	426	1828
189	428	1824
190	430	1821
191	432	1818
192	434	1815
193	436	1812
194	438	1811
195	440	1808
196	442	1804
197	444	1801
198	446	1798
199	448	1794
200	450	1791
201	453	1789
202	455	1786
203	457	1783
204	459	1782
205	461	1778
206	463	1775
207	465	1772
208	467	1771
209	470	1768
210	472	1765
211	474	1762
212	476	1759
213	478	1756
214	480	1754
215	482	1751
216	484	1749
217	487	1747
218	489	1744
219	491	1742
220	493	1740
221	495	1737
222	497	1734
223	500	1732
224	517	1781
225	519	1778
226	521	1776
227	523	1773
228	525	1770
229	528	1767
230	530	1765
231	532	1762
232	534	1760
233	537	1757
234	539	1755
235	541	1753
236	543	1750
237	546	1748
238	548	1745
239	550	1743
240	552	1741
241	555	1739
242	557	1736
243	559	1734
244	562	1732
245	563	1728
246	566	1726
247	568	1723
248	570	1721
249	573	1719
250	575	1717
251	577	1714
252	579	1712
253	582	1709
254	584	1707
255	586	1704
256	588	1701
257	590	1698
258	592	1695
259	594	1692
260	596	1689
261	598	1686
262	600	1682
263	602	1680
264	605	1678
265	607	1675
266	609	1672
267	611	1669
268	613	1666
269	615	1663
270	617	1660
271	619	1657
272	621	1655
273	623	1652
274	626	1650
275	628	1647
276	630	1644
277	632	1641
278	633	1637
279	635	1635
280	638	1632
281	640	1629
282	642	1627
283	644	1624
284	646	1621
285	648	1618
286	650	1615
287	652	1613
288	654	1610
289	656	1607
290	658	1604
291	660	1601
292	662	1598
293	664	1596
294	666	1593
295	668	1590
296	670	1587
297	672	1584
298	674	1581
299	676	1579
300	678	1576
301	680	1573
302	682	1570
303	684	1567
304	686	1565
305	688	1562
306	690	1559
307	693	1557
308	695	1554
309	697	1553
310	699	1550
311	701	1547
312	703	1545
313	706	1542
314	708	1539
315	710	1536
316	712	1534
317	713	1531
318	716	1528
319	718	1525
320	720	1523
321	721	1519
322	723	1516
323	725	1514
324	727	1511
325	729	1508
326	731	1506
327	733	1502
328	735	1499
329	737	1497
330	739	1494
331	741	1492
332	744	1490
333	746	1488
334	748	1485
335	750	1483
336	753	1482
337	755	1480
338	757	1477
339	759	1475
340	762	1473
341	764	1470
342	766	1468
343	768	1465
344	770	1463
345	772	1460
346	775	1458
347	777	1456
348	779	1453
349	781	1450
350	783	1448
351	785	1446
352	787	1443
353	789	1441
354	791	1438
355	794	1436
356	796	1434
357	798	1431
358	800	1429
359	802	1426
360	804	1424
361	806	1421
362	809	1420
363	811	1418
364	813	1415
365	815	1412
366	817	1409
367	819	1407
368	821	1404
369	823	1402
370	826	1400
371	828	1398
372	830	1396
373	832	1393
374	835	1391
375	837	1389
376	839	1386
377	841	1385
378	843	1382
379	845	1380
380	848	1377
381	850	1375
382	852	1373
383	853	1369
384	856	1367
385	858	1365
386	860	1363
387	862	1360
388	864	1358
389	866	1355
390	869	1353
391	874	1355
392	876	1353
393	878	1351
394	880	1348
395	882	1346
396	884	1344
397	887	1341
398	889	1339
399	891	1337
400	893	1334
